Year,Mes,Residuo,Peso
2018,Febrero,Electronicos,0
2018,Marzo,Electronicos,34.6
2018,Abril,Electronicos,221.5
2018,Mayo,Electronicos,0
2018,Junio,Electronicos,35
2018,Julio,Electronicos,0
2018,Agosto,Electronicos,229.4
2018,Septiembre,Electronicos,
2018,Octubre,Electronicos,
2018,Noviembre,Electronicos,
2018,Diciembre,Electronicos,
2019,Enero,Electronicos,
2019,Febrero,Electronicos,
2019,Marzo,Electronicos,
2019,Abril,Electronicos,
2019,Mayo,Electronicos,368
2019,Junio,Electronicos,8
2019,Julio,Electronicos,1.4
2019,Agosto,Electronicos,55
2019,Septiembre,Electronicos,0
2019,Octubre,Electronicos,0
2019,Noviembre,Electronicos,9
2019,Diciembre,Electronicos,0
2020,Enero,Electronicos,0
2020,Febrero,Electronicos,0
2020,Marzo,Electronicos,
2020,Abril,Electronicos,
2020,Mayo,Electronicos,
2020,Junio,Electronicos,10
2020,Julio,Electronicos,0
2020,Agosto,Electronicos,2
2020,Septiembre,Electronicos,4
2020,Octubre,Electronicos,60
2020,Noviembre,Electronicos,236
2020,Diciembre,Electronicos,
2017,Enero,Chatarra,
2017,Febrero,Chatarra,
2017,Marzo,Chatarra,
2017,Abril,Chatarra,
2017,Mayo,Chatarra,
2017,Junio,Chatarra,
2017,Julio,Chatarra,
2017,Agosto,Chatarra,
2017,Septiembre,Chatarra,
2017,Octubre,Chatarra,
2017,Noviembre,Chatarra,
2017,Diciembre,Chatarra,
2018,Enero,Chatarra,
2018,Febrero,Chatarra,
2018,Marzo,Chatarra,
2018,Abril,Chatarra,
2018,Mayo,Chatarra,
2018,Junio,Chatarra,
2018,Julio,Chatarra,
2018,Agosto,Chatarra,
2018,Septiembre,Chatarra,
2018,Octubre,Chatarra,
2018,Noviembre,Chatarra,
2018,Diciembre,Chatarra,
2019,Enero,Chatarra,
2019,Febrero,Chatarra,
2019,Marzo,Chatarra,
2019,Abril,Chatarra,
2019,Mayo,Chatarra,8
2019,Junio,Chatarra,17
2019,Julio,Chatarra,75.4
2019,Agosto,Chatarra,4.3
2019,Septiembre,Chatarra,16.2
2019,Octubre,Chatarra,52
2019,Noviembre,Chatarra,28.5
2019,Diciembre,Chatarra,23
2020,Enero,Chatarra,24.5
2020,Febrero,Chatarra,152
2020,Marzo,Chatarra,
2020,Abril,Chatarra,
2020,Mayo,Chatarra,
2020,Junio,Chatarra,27
2020,Julio,Chatarra,3
2020,Agosto,Chatarra,5
